GBR_ID,GBR_NAME,X_COORD,Y_COORD
14082,Crescent Reef,145.08926392,-14.4156599
14083,Parke Reef,145.32247925,-14.4195385
14085,Hilder Reef,145.41036987,-14.44501114
14151,No 10 Patches (No 1),145.69042969,-14.91990566
14152,No 10 Patches (No 2),145.68173218,-14.93192387
14153A,No 10 Patches (No 3),145.69018555,-14.95040894
14153B,No 10 Patches (No 4),145.68621826,-14.96847725
13061C,Sand Bank No 7 Reef,143.97851563,-13.43976307
13062,Roskruge Reef,143.62867737,-13.41608715
13064,North Khandalla Shoal,143.68893433,-13.42867851
13065,Drake Shoal,143.70610046,-13.43428612
13066,South Khandalla Shoal,143.69161987,-13.43684864
13068,Quake Reef,143.65106201,-13.45235825
13069,Bell Bank (North),143.62536621,-13.45379353
13070,Bell Bank (South),143.62139893,-13.46678734
13071,Heath Reef,143.68113708,-13.47515297
14008,Eden Reef,143.91389465,-14.07781029
14009,Clark Shoal,143.93676758,-14.12939835
14011,Olive Patch,143.93307495,-14.17860126
14012,Cliff Islands Reef (West),143.7739563,-14.22058868
14013,Cliff Islands Reef (East),143.79229736,-14.22569561
14015,June Reef,143.7796936,-14.28871727
14086,Hicks Reef,145.4821167,-14.45256233
14087,Snake Reef,145.02529907,-14.47311687
14088,Waining Reef,145.22224426,-14.45621586
14089,Day Reef,145.53677368,-14.49668884
14154,Ribbon No 9 Reef,145.70335388,-14.99295044
15001,Ada Bank,145.46420288,-15.00384617
13072,Morris Island Reef,143.73855591,-13.48629475
13075,MacDonald Reef,143.65530396,-13.54245853
14016,Corbett Reef,144.11610413,-13.97915649
14017,Clack Reef,144.24232483,-14.06813049
14018,King Island Reef,144.32124329,-14.09972095
14019,Aylen Patch,144.48490906,-14.1037178
14020,Oswald Shoal,144.49787903,-14.10725403
14090,Howick Reef,144.97001648,-14.50333881
14091,Noble Reef,144.76498413,-14.5015974
15002,Two Islands Reef,145.44151306,-15.02282429
